order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_month,delivery_time_days,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,product_category
4ca4a1922b582950b25cce6e7ef34315,c037e55c28eaaaa458a447f6fb9ac8a7,delivered,2017-10-26 15:43:23,2017-10-26 15:56:25,2017-10-27 16:58:30,2017-10-30 13:48:01,2017-11-14,2017-10,3.0,1.0,1b7384e0f9f5e4cb914cd3f5535a4cab,325f3178fb58e2a9778334621eecdbf9,2017-11-01 15:56:25,23.8,0.21,1.0,credit_card,2.0,157.73,5fd55af753f2607d0a917317612d1004,1.0,,"Eu recebi as essências, mas está faltando o Kit Colágeno hidrolisado. No site e por e-mail esta dizendo que foi recebido juntos. Só que ainda aguardo os colágenos.",2017-10-31 00:00:00,2017-10-31 18:02:11,unknown,,,,200.0,16.0,3.0,12.0,,unknown
4ca4a1922b582950b25cce6e7ef34315,c037e55c28eaaaa458a447f6fb9ac8a7,delivered,2017-10-26 15:43:23,2017-10-26 15:56:25,2017-10-27 16:58:30,2017-10-30 13:48:01,2017-11-14,2017-10,3.0,2.0,7b49e585ac8c80b14c9b2815d4db465f,4200ddf1967c5e41e48db62bc6d4b5ac,2017-11-01 15:56:25,16.9,20.94,1.0,credit_card,2.0,157.73,5fd55af753f2607d0a917317612d1004,1.0,,"Eu recebi as essências, mas está faltando o Kit Colágeno hidrolisado. No site e por e-mail esta dizendo que foi recebido juntos. Só que ainda aguardo os colágenos.",2017-10-31 00:00:00,2017-10-31 18:02:11,cama_mesa_banho,26.0,421.0,1.0,200.0,16.0,12.0,11.0,bed_bath_table,bed_bath_table
4ca4a1922b582950b25cce6e7ef34315,c037e55c28eaaaa458a447f6fb9ac8a7,delivered,2017-10-26 15:43:23,2017-10-26 15:56:25,2017-10-27 16:58:30,2017-10-30 13:48:01,2017-11-14,2017-10,3.0,3.0,08ef02b6aae73ad3a385cf1342f609c7,4200ddf1967c5e41e48db62bc6d4b5ac,2017-11-01 15:56:25,16.9,2.41,1.0,credit_card,2.0,157.73,5fd55af753f2607d0a917317612d1004,1.0,,"Eu recebi as essências, mas está faltando o Kit Colágeno hidrolisado. No site e por e-mail esta dizendo que foi recebido juntos. Só que ainda aguardo os colágenos.",2017-10-31 00:00:00,2017-10-31 18:02:11,cama_mesa_banho,27.0,423.0,1.0,250.0,16.0,12.0,11.0,bed_bath_table,bed_bath_table
4ca4a1922b582950b25cce6e7ef34315,c037e55c28eaaaa458a447f6fb9ac8a7,delivered,2017-10-26 15:43:23,2017-10-26 15:56:25,2017-10-27 16:58:30,2017-10-30 13:48:01,2017-11-14,2017-10,3.0,4.0,9e164b4afdecc7c67fb9b6f12c104e21,218d46b86c1881d022bce9c68a7d4b15,2017-11-01 15:56:25,64.0,12.57,1.0,credit_card,2.0,157.73,5fd55af753f2607d0a917317612d1004,1.0,,"Eu recebi as essências, mas está faltando o Kit Colágeno hidrolisado. No site e por e-mail esta dizendo que foi recebido juntos. Só que ainda aguardo os colágenos.",2017-10-31 00:00:00,2017-10-31 18:02:11,esporte_lazer,54.0,1823.0,1.0,450.0,18.0,18.0,18.0,sports_leisure,sports_leisure
aad5afa8c6f6c436e07eb1107d02f34e,d4aa5e0e3077341b5cb473ccba437951,delivered,2018-03-24 15:35:10,2018-03-24 15:50:29,2018-03-26 19:02:19,2018-03-27 21:49:03,2018-04-17,2018-03,3.0,1.0,31fd02b02c33827cbde22902cf80338c,5f1dc28029d2c244352a68107ec2b542,2018-04-09 15:50:29,35.0,7.39,1.0,credit_card,1.0,42.39,856812b7e9265a5a6e65192c93187bf0,5.0,,,2018-03-28 00:00:00,2018-04-12 16:21:36,utilidades_domesticas,51.0,1224.0,2.0,200.0,26.0,3.0,21.0,housewares,housewares
1ac0eff2487c84f0181b8204a9bf6124,45cd1c128f672736618571f7b873ab73,delivered,2017-06-14 13:30:35,2017-06-14 13:42:28,2017-06-22 17:32:31,2017-07-05 18:44:10,2017-07-07,2017-06,21.0,1.0,15cf6e60f6f3fc09598470e5d9a6d13c,827f8f69dfa529c561901c4f2e0f332f,2017-06-20 13:42:28,29.9,14.1,1.0,credit_card,2.0,44.0,f233c105fc4009b896bd0c76e331d65f,3.0,,,2017-07-06 00:00:00,2017-07-07 14:16:32,bebes,49.0,375.0,6.0,200.0,29.0,7.0,16.0,baby,baby
977ec2dc0bff193996408d1631b22181,20362112f844c8a9416e4bd44398ace2,delivered,2018-08-02 12:05:57,2018-08-03 02:50:37,2018-08-03 14:38:00,2018-08-10 15:32:34,2018-08-22,2018-08,8.0,1.0,a0727420c4f72aa6600840eb1da0d3d1,8b9d6eec4a7eb7d0f9d579ce0b38324d,2018-08-07 02:50:37,135.0,60.18,1.0,boleto,1.0,195.18,7391d41aed621a25d380ecc0113d1655,5.0,,,2018-08-11 00:00:00,2018-08-22 13:23:46,moveis_sala,55.0,851.0,1.0,9850.0,61.0,16.0,46.0,furniture_living_room,furniture_living_room
3415d8ed3da0f4c3f72b608ad678a895,9a5287ae4b7c874293dac95b843f82b5,delivered,2017-08-18 09:01:49,2017-08-18 09:15:21,2017-08-23 18:55:20,2017-08-25 18:13:41,2017-09-11,2017-08,7.0,1.0,82c3ea364e5480f335f6743ee725a921,70a12e78e608ac31179aea7f8422044b,2017-08-25 09:15:21,25.0,11.85,1.0,credit_card,3.0,36.85,0adb024a177058e12ac896e9cc3dc8f5,1.0,,"Pedi o cancelamento do produto no mesmo dia da compra e não fui atendido, então ou a targaryen age de má fé ou tem funcionários incompetentes...
",2017-08-26 00:00:00,2017-08-27 03:56:42,informatica_acessorios,58.0,419.0,2.0,275.0,16.0,5.0,20.0,computers_accessories,computers_accessories
31ee7866f7203208e59eba90498ead4c,a5ffaf89f5f7e639ce935676baf2c314,delivered,2017-07-26 16:16:24,2017-07-27 11:25:24,2017-07-27 21:33:54,2017-08-03 11:49:41,2017-08-21,2017-07,7.0,1.0,db1d1a4569fdbae28a0d3340d907f7af,325f3178fb58e2a9778334621eecdbf9,2017-08-02 11:25:24,18.9,19.7,1.0,boleto,1.0,103.0,cb9bd1c49786e95d8ac1bf14d850931a,5.0,,,2017-08-04 00:00:00,2017-08-04 15:27:23,unknown,,,,400.0,16.0,5.0,12.0,,unknown
31ee7866f7203208e59eba90498ead4c,a5ffaf89f5f7e639ce935676baf2c314,delivered,2017-07-26 16:16:24,2017-07-27 11:25:24,2017-07-27 21:33:54,2017-08-03 11:49:41,2017-08-21,2017-07,7.0,2.0,1c56f826f3a1fdf255e3fb5fa7637d3e,325f3178fb58e2a9778334621eecdbf9,2017-08-02 11:25:24,19.9,5.91,1.0,boleto,1.0,103.0,cb9bd1c49786e95d8ac1bf14d850931a,5.0,,,2017-08-04 00:00:00,2017-08-04 15:27:23,perfumaria,37.0,674.0,1.0,225.0,16.0,7.0,12.0,perfumery,perfumery
